nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,nama_kelurahan,nama_kecamatan,nama_kota
warteg sami asih,4.2,6,-6.2965582,106.78866,"jl. lb. bulus i no.57, rt.6/rw.4, cilandak bar., kota jakarta selatan",ChIJyTk0yt7xaS4RiY0drl8OjpM,Cilandak Barat,Cilandak,Kota Jakarta Selatan
warteg kharisma bahari,4.1,43,-6.3095972,106.7900097,"jl. h. ipin, rt.13/rw.1, pd. labu, kota jakarta selatan",ChIJv9zuNCPuaS4Re742xuYK1DQ,Pondok Labu,Cilandak,Kota Jakarta Selatan
warteg sinar bahari,0,0,-6.3101298,106.7871107,"jl. h. gandun jl. karang tengah raya no.23, rt.4/rw.8, lb. bulus, kota jakarta selatan",ChIJqUDQYr_vaS4RafqSst68A5I,Lebak Bulus,Cilandak,Kota Jakarta Selatan
warteg kharisma bahari sedia soto ayam,3.9,14,-6.3053629,106.798582,"jl. swakarya bawah no.13, rt.3/rw.9, pd. labu, kota jakarta selatan",ChIJvd_lNRnuaS4RluCLdhdhu00,Pondok Labu,Cilandak,Kota Jakarta Selatan
warteg nur hikmah,5,1,-6.30181,106.795029,"jl. wijaya kusuma, rt.8/rw.06, pd. labu, kota jakarta selatan",ChIJ7XJbbFXvaS4R52Yy4cveS6s,Pondok Labu,Cilandak,Kota Jakarta Selatan
warteg citra sari,4.3,153,-6.2973101,106.8034148,"jl. cilandak permai raya, rt.6/rw.2, cilandak bar., kota jakarta selatan",ChIJm_Bx_uLxaS4RHQkTq7aFOVA,Cilandak Barat,Cilandak,Kota Jakarta Selatan
warteg jaya abadi,5,1,-6.3110678,106.7865901,"jl. karang tengah i no.8, rt.3/rw.8, lb. bulus, kota jakarta selatan",ChIJ3X6B5RrvaS4REeHIe8OG4og,Lebak Bulus,Cilandak,Kota Jakarta Selatan
warteg teteh,0,0,-6.3061573,106.8021652,"jl. pinang kalijati no.12, rt.8/rw.9, pd. labu, kota jakarta selatan",ChIJe3RDjiXvaS4RF0tOsqwu10k,Pondok Labu,Cilandak,Kota Jakarta Selatan
warteg kharisma bahari,0,0,-6.3053762,106.7986362,"jl. swakarya bawah no.c no.13, rt.3/rw.9, pd. labu, kota jakarta selatan",ChIJX_PQ0UfvaS4R04cdglh6B7o,Pondok Labu,Cilandak,Kota Jakarta Selatan
warteg kharisma bahari pd labu,1,1,-6.3011485,106.7946462,"jl. rs. fatmawati raya no.66, rt.8/rw.1, pd. labu, kota jakarta selatan",ChIJVSngG0LvaS4RYxv34Vtor34,Pondok Labu,Cilandak,Kota Jakarta Selatan
warteg langgeng,4.1,21,-6.3031215,106.7848034,"jl. gn. balong, rt.8, lb. bulus, kota jakarta selatan",ChIJAaVeUibuaS4Rde2y9g13_z8,Lebak Bulus,Cilandak,Kota Jakarta Selatan
warteg mitra,5,1,-6.289324,106.80192,"jl. cilandak tengah raya, rt.2/rw.1, cilandak bar., kota jakarta selatan",ChIJpeh2ueXxaS4RcRkr1GzS7ZI,Cilandak Barat,Cilandak,Kota Jakarta Selatan
warteg,4,6,-6.2903418,106.7789122,"jl. h. ilyas no.8, rt.9/rw.7, lb. bulus, kota jakarta selatan",ChIJN51qKM7xaS4Ru9z8lvw-Tus,Lebak Bulus,Cilandak,Kota Jakarta Selatan
warteg kharisma,5,1,-6.2942826,106.7823221,"jl. h. baun no.32, rt.3/rw.1, lb. bulus, kota jakarta selatan",ChIJExeV30HxaS4R3sckrKZ1O9Q,Lebak Bulus,Cilandak,Kota Jakarta Selatan
warteg langka-langka,5,1,-6.2928652,106.7822506,"pq4j+vw2, rt.5/rw.1, lebak bulus, south jakarta city",ChIJ-2TiF3nxaS4RXenRCufpo8c,Lebak Bulus,Cilandak,Kota Jakarta Selatan
warteg mulya bahari,0,0,-6.289398,106.7778279,"jl. adiaksa raya no.32, rt.7/rw.7, lb. bulus, kota jakarta selatan",ChIJXYC4VEbxaS4R2QJdZPryuus,Lebak Bulus,Cilandak,Kota Jakarta Selatan
warteg pemalang,4.6,14,-6.3112659,106.8088413,"jl. margasatwa no.49, rt.1/rw.7, pd. labu, kota jakarta selatan",ChIJwb2SAMbvaS4RYdRGroSlcd0,Pondok Labu,Cilandak,Kota Jakarta Selatan
warteg poncol,0,0,-6.2754759,106.7930573,"pqfv+r63, rt.3/rw.7, south gandaria, south jakarta city",ChIJ9XsywdPxaS4RH1wimCW4GR4,Gandaria Selatan,Cilandak,Kota Jakarta Selatan
warteg langgeng jaya,5,1,-6.2669321,106.7924537,"jl. madrasah no.20a, rt.7/rw.1, gandaria sel., kota jakarta selatan",ChIJGWGvWKLxaS4RYSs6UNnMZ9I,Gandaria Selatan,Cilandak,Kota Jakarta Selatan
warteg niki 4,4.7,18,-6.274515,106.79789,"jl. rs. fatmawati raya, rt.14/rw.4, cipete sel., kota jakarta selatan",ChIJ3498KJTxaS4RcG5SKCjpSEk,Cipete Selatan,Cilandak,Kota Jakarta Selatan
warteg mamoka,4.5,191,-6.2719347,106.7965176,"pqhw+6jc, rt.1/rw.4, south gandaria, south jakarta city",ChIJQ-4iYQ3xaS4ROc90Y7wg3QQ,Gandaria Selatan,Cilandak,Kota Jakarta Selatan
warteg restu ibu,5,1,-6.2706907,106.7972883,"jl. rs. fatmawati raya no.234, rt.1/rw.4, gandaria sel., kota jakarta selatan",ChIJMe6GgpfxaS4RiahGZqvF6BA,Gandaria Selatan,Cilandak,Kota Jakarta Selatan
warteg rohmadi,0,0,-6.2671835,106.7942559,"jl. komp. depag no.19, rt.7/rw.3, gandaria sel., kota jakarta selatan",ChIJFemleJjxaS4RUI3pXCOhVdM,Gandaria Selatan,Cilandak,Kota Jakarta Selatan
